,subscribed
5582,0
35851,0
26647,0
17170,0
32332,0
25338,0
26146,0
600,0
33300,0
22819,0
824,0
1194,0
7140,0
24531,0
20764,0
35325,0
19400,0
33841,0
6313,0
32170,0
38222,1
14604,0
2286,0
38145,0
4477,1
21079,0
32353,0
39638,1
28372,0
18560,0
19684,0
35010,0
39133,1
26623,1
26316,0
23053,0
40194,1
6645,1
24200,0
22956,0
17274,0
30996,0
18337,0
18049,0
23351,0
38020,0
35518,0
3060,0
8249,0
38078,0
21194,0
33106,0
35593,1
12084,0
25606,0
24941,0
15299,0
22574,0
37720,0
23109,0
35724,0
35910,1
26392,0
18421,0
11325,0
28401,0
11033,0
1880,0
540,0
34340,0
28097,0
4302,0
28425,0
8673,0
288,0
15953,0
13245,0
34522,0
8427,0
17183,0
4817,0
20896,0
19556,0
16313,0
13878,1
20911,0
2297,0
9079,0
20988,0
36391,0
26425,0
19697,0
31642,0
2356,0
30860,1
18378,0
12512,0
15628,0
25589,0
37680,1
34736,0
13032,0
32671,0
29524,0
37900,0
31755,0
34287,1
21427,0
4065,0
34409,0
35316,0
20614,0
12445,0
13496,0
18453,0
26025,0
884,0
6284,0
8828,0
15856,0
29090,0
31956,0
6885,0
20509,0
8962,0
31248,0
17490,0
38821,0
23005,1
7,0
19978,0
2387,0
15487,0
40079,0
15398,1
29422,0
28258,0
3681,0
32510,0
11738,0
13041,0
14646,0
19455,0
37321,0
7221,0
27889,0
38693,1
2778,1
35891,0
35449,0
18558,0
38500,1
12331,0
26918,0
33422,0
10375,0
1196,0
26826,0
19754,0
22734,0
40915,0
31739,0
31950,0
20923,0
35133,0
2553,0
29940,0
30342,0
9736,0
780,0
35860,1
27717,0
30936,0
5290,0
38814,1
2327,0
16310,0
24162,0
33870,1
18354,0
15302,0
2314,1
20526,0
40301,1
5449,0
2878,0
16868,0
26222,0
38543,0
40591,0
25572,0
19188,0
3844,0
379,0
2365,0
13102,0
38525,1
40730,1
25457,0
40634,0
1825,0
40568,1
31725,0
22621,0
30073,0
7017,0
5280,0
10753,0
8847,0
39059,0
40292,0
16292,0
27492,0
29129,0
1076,0
1012,0
35853,0
39079,1
40069,1
8966,0
38941,0
7855,0
29610,0
17399,0
17835,0
2455,0
5511,0
17034,0
13811,0
148,0
4550,0
37932,0
22308,0
19063,0
16625,0
7717,0
26719,0
12132,0
15186,0
38963,0
40519,0
1576,0
15449,0
19278,0
37178,1
5321,0
38393,0
35695,0
40582,1
28931,0
28041,0
5943,0
3865,0
39186,0
28710,0
34165,0
35886,0
39086,0
23041,0
33703,0
12264,0
40827,0
33080,0
20044,0
29655,0
23981,0
27713,0
517,0
21557,0
21913,0
41073,1
27124,0
1166,1
13226,0
16541,0
33427,0
1684,0
26417,0
6094,0
20347,0
21947,0
14302,0
20865,0
21377,0
30980,1
20187,0
7093,0
23934,0
23243,0
27439,0
6814,0
18190,0
15808,0
26985,0
1333,0
26883,0
11953,0
7521,0
10438,0
24588,0
23997,0
31137,0
2750,0
20657,0
35474,0
40928,0
674,0
40102,0
34180,0
32737,0
4082,0
39033,0
16516,0
26306,1
2810,0
7837,0
1221,0
34640,1
25356,0
31571,0
6092,0
9255,0
9136,0
6112,0
19827,0
30877,0
12170,0
14110,0
12476,0
12341,0
32348,0
7655,0
9311,0
22884,0
14158,0
36415,0
3101,0
35649,1
23871,0
15212,0
38410,1
33965,0
18384,0
1387,0
36768,0
3984,0
35654,0
5993,0
33588,0
28007,0
35846,0
29719,0
12135,0
27404,0
5408,0
14337,0
21851,0
27044,0
15491,0
16569,0
28130,0
13732,0
14248,0
31997,0
12018,0
33833,0
39216,1
36269,0
24199,0
2622,0
14432,0
4142,0
23252,0
5680,0
11340,0
24164,0
14333,0
15855,0
31541,0
33074,0
22316,0
12187,0
25828,0
26424,0
5291,0
31411,0
24668,0
9357,0
15561,1
33176,0
10847,0
36755,1
18508,1
15636,0
34523,0
13429,0
12781,1
4478,0
14525,0
41105,0
5959,0
21229,0
27850,0
27153,0
27688,0
5164,0
24959,0
3305,0
23922,0
1719,0
32698,0
37677,0
20369,0
5452,0
31528,0
6892,0
8189,0
30726,0
38527,0
31624,0
15814,0
7262,0
31836,0
1008,0
36563,1
6471,0
32364,0
576,0
14371,0
11074,0
6127,0
36593,1
20380,0
16583,1
19957,0
1285,0
28827,1
27329,0
39036,1
32380,0
27443,0
33240,0
6577,0
3622,0
26625,0
12253,0
20192,0
29263,0
34988,0
34859,0
24176,0
20243,0
30097,0
15045,0
24669,0
10797,0
8492,0
20615,0
36258,0
2168,0
37635,1
20185,0
2851,0
4296,0
6903,0
10741,0
13521,0
7696,0
18961,0
14618,0
38815,1
31333,0
24049,1
12770,0
15583,0
30517,1
3899,0
21250,0
8158,0
28017,0
41116,1
40134,0
8819,0
40564,0
17436,0
11629,0
25938,0
3353,0
12199,0
7391,0
26019,0
6499,0
38624,1
36274,0
1211,0
11435,0
4649,0
14386,0
9829,0
35811,1
19111,0
18851,0
11576,0
24985,0
20936,0
8008,0
24938,0
803,0
29109,0
26126,0
27129,0
27645,0
15684,0
40433,1
16915,1
33494,0
18826,0
7048,0
18822,0
23866,0
38431,1
37022,0
40070,0
17231,0
6014,0
34233,0
13447,0
30948,0
25042,0
26430,1
18974,0
23947,0
26288,0
20890,0
10915,0
38635,1
16429,0
23451,0
29390,0
27913,0
18110,1
33187,1
36197,0
23215,0
21774,0
29173,0
22215,0
18948,0
3851,0
39936,0
9225,0
18711,0
26449,0
41092,0
34688,0
39018,0
9463,0
8586,0
33685,0
10329,1
23108,0
2468,0
1059,0
35780,0
37845,1
31204,0
10548,0
25266,0
21095,1
28460,1
11504,0
6888,0
9915,0
845,0
19639,0
25822,0
10876,0
26630,0
14208,0
5370,0
28983,0
33991,0
120,0
13403,0
26902,0
1851,0
24244,0
21342,0
1362,0
11076,0
25583,0
25997,0
3842,0
24688,0
12049,0
20485,0
28802,0
22280,1
10073,1
32541,0
35299,0
29182,0
19720,0
15152,0
7128,0
13829,0
38728,1
17691,0
37595,1
34619,0
25496,0
6752,0
24044,0
36070,0
25179,0
18176,0
876,1
35404,0
17739,0
37535,1
4470,0
29091,0
16078,0
32226,0
18312,0
17265,0
13578,0
11430,0
18635,0
9374,0
31952,0
39710,1
4419,0
18139,0
1156,0
12113,0
2405,1
9119,0
15115,0
17651,0
31622,0
31548,0
807,0
24780,0
6510,0
3548,0
27595,0
11740,0
31200,0
33891,0
17709,0
20047,0
36232,0
38202,0
17886,0
24970,0
30230,0
29555,0
20604,0
39248,0
17802,1
25352,0
38732,1
3586,0
7294,0
17577,0
17614,0
30444,0
17243,0
35947,0
35604,0
16033,0
24293,0
25490,0
15783,0
37056,1
5918,0
31009,0
6241,0
15263,0
19411,0
18300,0
15942,0
13554,0
17111,0
33027,0
24725,0
26178,0
26790,0
468,0
6671,0
14896,0
23350,1
1467,0
19352,0
24124,0
17643,0
14661,0
24096,0
1640,0
14638,0
21523,0
27468,0
19466,0
34051,1
38961,0
31981,0
2535,0
23168,0
28237,0
18759,0
26245,0
20099,0
11521,0
28326,1
441,0
6875,0
6676,0
29,0
14858,0
9175,0
36632,0
4758,0
32500,0
37215,1
25204,0
7968,0
28476,1
30559,0
2257,0
6492,0
23882,0
4691,0
36465,1
6428,0
24709,0
26318,0
40494,1
9216,0
31533,0
9120,0
3493,0
34601,0
24560,0
25820,0
21706,0
6175,0
738,0
37149,0
33155,0
29770,0
10306,0
9151,0
37702,0
8234,0
39375,0
25698,0
30218,1
2116,0
32027,0
3095,0
18590,0
11839,0
6451,0
40734,0
38714,0
27678,1
9990,0
21835,0
33390,0
29469,0
11168,0
28260,0
3700,0
13272,1
15585,0
802,0
5824,0
35447,0
26572,0
4890,0
38524,1
21323,0
5350,0
26608,0
39812,1
39818,1
11130,0
29591,0
24562,0
12070,0
19682,0
29785,0
19116,0
32119,0
25772,0
25533,0
12646,0
9223,0
34028,0
26388,0
18544,0
5875,0
19650,0
38166,0
22158,0
40336,1
39682,0
20315,0
7366,0
19023,0
16244,0
15084,0
29932,0
29980,0
21803,0
21235,0
4935,0
8315,0
29859,0
39176,0
28194,0
25561,0
1119,0
6943,0
29939,0
16689,0
15553,0
39586,0
31464,0
15872,0
2342,0
10030,0
40280,1
32311,0
22798,0
4809,0
33144,0
6369,0
37585,0
5287,0
38061,1
31302,0
38836,0
33555,0
40792,0
13574,0
13718,0
14013,0
4672,0
28270,0
38111,0
29502,0
402,0
34986,0
20502,0
40590,0
31589,0
28525,0
35329,0
22677,0
24463,1
10019,0
35535,0
19306,0
4518,0
31194,0
35498,0
6061,0
33648,0
2150,0
8328,0
18830,0
23191,0
15232,0
19165,0
31374,0
11380,0
9373,0
40269,0
159,0
38555,1
9969,0
821,0
35315,0
5927,0
189,0
2400,0
35482,0
39672,1
5406,0
35111,0
14424,0
558,0
24050,0
33609,0
26847,0
7304,0
34540,0
9121,0
16394,0
20616,1
7350,0
28209,0
16207,0
29152,0
24327,0
33168,0
23411,0
1345,0
17814,0
29717,0
6219,0
104,0
34535,0
28965,0
22609,0
11088,0
32165,0
21708,0
23154,0
26284,0
22012,0
40445,1
32146,0
14844,1
34334,0
12653,0
838,0
39843,0
13626,0
29732,0
25124,0
9004,0
9076,0
36344,0
6367,0
31271,0
38452,0
3962,0
39850,1
3222,1
6530,0
25048,0
27949,0
31238,0
23318,0
7434,1
8825,0
13551,0
23260,0
21732,0
8761,0
35110,0
9165,0
33130,0
15806,0
37254,0
29914,0
356,0
14894,0
39968,0
350,0
23371,0
35613,0
38438,0
34863,0
9946,0
21878,0
39817,0
36183,0
38321,1
30518,0
12489,0
6979,1
9061,0
15127,0
2317,0
7210,0
39637,0
35190,0
25676,0
5974,0
34933,0
3970,0
29417,0
38122,0
40840,0
19710,0
26644,0
29857,0
36356,0
15899,0
27270,0
1808,1
14991,0
1324,0
40114,0
21322,0
32463,0
31915,0
23408,0
24134,0
40713,1
9529,0
12189,0
543,0
40973,0
28234,0
24750,0
14928,0
2007,0
1522,0
4253,0
15579,0
6048,0
16291,0
1850,0
29755,1
31572,0
20608,0
29226,0
30116,0
24295,0
22212,0
18397,0
22504,0
27944,1
5344,0
31989,0
34184,0
12302,0
14674,0
18548,0
31490,0
7802,0
36974,0
6479,0
18809,0
36213,0
13760,0
5259,0
38779,0
30674,0
18068,0
35415,0
14082,0
17805,0
14676,0
6643,0
14101,0
31517,0
30277,1
23239,0
24983,0
33185,0
8669,0
38722,0
29319,0
13584,0
38991,0
14771,0
28254,0
39083,1
642,0
34166,0
15979,0
24308,0
11852,0
18016,0
39315,0
632,0
16477,0
11837,0
37139,1
50,0
37331,0
5475,0
34245,0
12536,0
34019,0
14268,0
32075,0
5115,0
38538,1
33055,0
29845,0
11544,0
10080,0
40276,1
7666,0
14623,0
41002,1
22775,0
26054,0
14974,0
23054,0
22861,0
40441,1
10349,0
4846,0
4557,0
20886,0
31427,0
21011,0
20760,0
2354,0
14995,0
34715,0
25008,0
33482,0
7823,0
14516,0
37848,1
23766,0
24396,0
28089,0
30974,0
9843,0
8553,0
4602,0
33910,0
4919,0
16116,0
23363,0
32687,0
11191,0
40609,0
12926,0
14497,0
5954,0
1843,0
29332,0
29891,0
25431,0
28110,0
36526,1
33620,0
18318,0
19265,0
21361,0
11779,0
19449,0
7759,0
39206,1
1475,0
15138,0
33829,0
38201,0
8174,0
7060,0
16483,0
11801,0
27185,0
3539,0
25831,0
6654,0
17510,0
15545,0
19839,0
10331,0
16839,0
27152,0
27800,1
40343,1
15329,0
18308,0
33112,0
2580,0
27503,0
4934,0
18352,0
9719,0
16677,0
17870,0
36062,0
1448,0
40614,0
16563,0
23960,0
22492,0
4196,0
29752,0
7493,0
11342,1
8281,0
38336,0
27399,0
10077,0
16260,0
40880,0
1236,0
24016,0
39946,1
40218,1
36492,1
32642,0
34158,0
7871,0
29004,0
25594,0
8873,0
11951,0
39294,0
1818,1
9942,0
745,0
35939,0
4647,0
30589,1
7637,0
4646,0
5145,0
5058,0
29958,1
30584,0
21120,0
3937,0
26350,0
37109,0
20008,0
20854,0
13183,0
24786,0
29863,0
6185,0
9899,0
13150,0
37261,0
27099,0
18844,0
10787,0
26348,1
701,0
2223,0
12945,0
34788,0
27566,0
18079,0
18893,0
37763,0
31136,0
2692,0
37054,0
15710,0
16762,0
13945,0
7231,0
27262,0
11248,0
15184,0
4066,0
37296,0
32573,0
35691,0
14190,0
9135,0
10396,0
38130,0
12578,0
22176,0
21738,0
6124,0
40814,1
37435,0
15323,0
17315,0
11431,0
15575,0
32589,0
39378,1
30619,0
40085,1
27991,0
9493,0
18581,0
38137,0
11679,0
14559,0
27323,0
25760,0
38035,0
2067,0
1443,1
28344,0
5349,0
8826,0
25363,0
32620,0
34676,0
38607,0
29213,1
38586,0
12,0
29856,0
30995,0
39627,1
25310,0
20357,0
22753,0
23756,0
26195,0
3677,0
32876,0
17868,0
2578,0
36348,1
25654,0
13411,0
25568,1
24466,0
16479,0
34363,0
25165,0
14713,0
6420,0
25000,0
25895,0
24474,0
18803,0
17188,0
39969,1
38365,0
31134,0
4993,0
7301,0
4873,0
14752,0
20010,0
34968,0
16871,0
32740,0
31651,0
31020,0
720,0
23486,0
36859,1
36051,0
30290,1
4095,0
14504,0
30776,1
39435,1
40426,1
25143,0
1828,0
3519,0
38246,0
38829,1
40239,0
25810,0
19062,0
5105,1
480,0
26645,0
12333,0
13008,0
38828,1
29711,0
13593,0
13499,0
31726,0
35003,1
19418,0
6689,0
24907,0
11810,0
33906,0
1030,0
1944,0
31633,0
16467,0
39324,1
26506,0
8595,0
4425,0
23091,0
5239,0
26242,0
13417,0
34277,0
5231,0
37722,1
8901,0
31788,0
33373,0
26440,0
39289,1
39557,0
41030,1
13189,0
35357,1
598,0
13924,0
7726,0
26028,0
8089,0
21598,0
7955,0
6737,0
14716,0
24179,0
22982,0
39098,0
29967,1
6385,0
4917,0
21862,0
17901,0
8389,0
38070,0
33593,0
22467,0
33974,0
5334,0
32487,0
37234,1
82,0
2408,0
9881,0
1439,0
27281,0
21629,0
13290,0
32328,0
17665,0
4093,0
2415,0
19066,0
22903,0
15708,0
2737,0
4714,0
32017,1
11251,0
24448,0
26988,1
29899,0
25175,0
40809,0
21332,0
30372,0
17075,0
12471,0
5312,0
14111,0
36091,0
8916,0
22201,0
9403,0
10055,0
38753,0
35005,0
16652,0
38400,1
2768,0
33096,0
33368,1
40256,1
27534,0
1186,0
10621,0
21712,0
5577,0
14987,0
20925,0
9259,0
12890,0
37640,0
11420,0
8629,0
33208,1
4843,0
11863,0
26653,0
33271,0
10426,0
18887,0
28363,0
32603,0
38841,0
3577,0
6830,0
16798,0
20428,0
7066,0
11331,0
18654,0
1367,0
30406,1
39631,0
6935,0
40096,1
39868,0
12456,0
4932,0
38546,1
9507,0
39998,1
13336,0
25717,0
12139,0
987,0
22018,0
22668,0
1702,0
7973,0
2154,0
9882,0
23189,0
4474,0
19969,0
37196,0
3860,0
30336,1
24354,0
38196,1
16671,0
34377,0
21891,0
15889,0
27372,0
258,0
7796,0
9269,0
27912,1
11594,0
17180,0
19705,0
11038,0
36519,0
39266,0
13773,0
3503,0
5136,0
16245,0
35062,0
17401,0
14311,0
6881,0
12241,0
3252,0
513,0
6085,0
9167,0
35511,0
16776,0
28602,1
1054,0
15698,0
3882,0
22175,0
6896,0
2825,0
31563,0
10765,0
26574,0
15163,0
11500,0
6489,0
10605,0
29512,0
7611,0
36140,0
32753,0
26248,0
30600,0
5013,0
16692,0
3304,0
21671,0
14064,0
28950,0
3564,0
38181,0
18530,0
10464,0
17341,0
19421,0
16303,0
40152,1
32249,0
20136,0
27380,0
31509,1
37704,0
32431,0
39482,1
8936,0
25360,0
23286,0
9722,0
2199,0
34154,0
13418,0
23891,0
21193,0
16428,0
17081,0
27283,0
29066,0
29617,0
14298,0
32310,0
24519,0
29434,0
30430,0
35002,0
18741,0
32152,0
5442,0
4492,0
39326,1
21727,0
4562,0
36696,0
33253,0
35902,0
39414,0
39800,1
13127,1
5626,0
16392,0
34459,0
12490,0
26731,0
15109,0
14592,1
32649,0
9126,0
28935,1
23199,0
25649,0
35279,0
23795,0
31169,0
58,0
452,0
25002,0
32224,0
40430,1
26452,0
304,0
21106,0
22528,0
39134,1
17591,0
18171,0
12401,0
28509,1
32760,0
36408,0
11182,0
12436,0
20021,0
22459,0
40258,0
39155,1
25487,0
11346,0
17032,0
17956,0
24076,0
34034,0
10226,0
5285,0
37412,0
28498,0
35847,0
32147,0
17521,0
12027,0
11569,0
34886,0
18678,0
37247,1
31104,0
12221,0
22097,0
38280,1
37106,1
21894,0
24898,0
5038,0
31000,0
32556,0
520,0
39749,0
5348,0
11219,0
34151,1
34370,0
29002,0
32280,0
31761,0
12425,0
33584,0
22835,0
3099,0
759,0
8563,0
17358,1
40581,0
13185,1
6781,0
23394,0
16491,0
38010,1
4740,0
10771,0
22181,0
19691,1
34814,0
27863,1
27291,0
6932,0
16294,0
39469,1
6688,0
24118,0
9683,0
4742,0
12806,0
34799,0
9444,1
26310,0
23632,0
16506,0
15013,0
38,0
9074,0
29970,0
38990,0
13887,0
30926,0
23190,0
4925,0
30354,1
39362,1
1752,0
31178,0
21384,0
1185,0
33977,0
2604,0
22089,0
31957,0
34343,0
26071,0
3,0
7960,0
8821,0
37877,0
31656,0
26555,0
5456,0
31668,0
4032,0
181,0
17373,0
39314,0
18059,0
40745,0
31738,0
36488,0
26909,0
28700,0
1687,0
31660,0
25945,0
38554,1
38916,0
2688,0
26336,0
27743,1
30060,0
25260,0
10481,0
36808,1
1547,0
7192,0
18112,0
21741,0
35720,0
7013,0
9774,0
26886,0
39450,1
33425,0
30830,0
26463,0
33367,0
14677,0
33266,0
12295,0
33403,0
19726,0
39986,1
17198,0
4322,0
8220,0
2181,0
8,0
16121,0
30398,0
29630,0
19425,0
15141,0
18143,0
40513,0
10867,0
9142,0
15059,0
33190,0
34284,0
3952,0
4145,0
11476,0
34137,0
22313,0
9395,0
32778,0
22028,0
38291,0
31696,0
9547,0
6240,0
6410,0
34226,0
32843,0
10449,0
34818,0
16664,0
33687,0
2496,0
11485,0
37128,1
15648,0
1124,0
31301,0
32873,0
37592,0
26276,0
33543,0
8222,0
7071,0
8850,0
18066,0
16154,0
35807,0
25440,0
25522,0
19574,0
3320,0
39189,1
1730,0
26063,0
33610,0
6218,0
24081,0
32893,0
7076,0
8959,0
6268,0
5761,0
9069,0
29661,0
34191,1
19011,1
30335,0
13166,0
7977,0
40807,1
21345,0
24243,0
13660,0
38530,1
21151,0
37888,1
15087,0
377,0
4006,0
5395,0
25924,0
2281,0
27737,1
25188,0
27666,0
29848,0
22024,0
2497,0
519,0
40855,0
836,0
12183,0
12761,0
18431,0
31869,0
7362,0
8151,0
8363,0
7433,0
2095,0
31973,0
1247,0
2632,0
9207,0
28995,0
4634,0
39090,1
20026,0
17504,0
34162,0
38703,0
6638,0
32174,0
23686,0
588,0
33800,0
37872,0
54,0
40007,1
38634,1
17427,0
13317,0
17713,0
2703,0
29247,0
15624,0
14358,0
37044,0
41126,1
8666,0
414,0
36650,0
6785,0
35001,0
25867,0
39979,0
28142,0
19768,0
23592,0
28841,0
17126,0
30984,0
25814,0
32296,0
33371,0
15742,0
2462,0
31330,0
6424,0
31467,0
34951,0
36913,0
4816,0
34507,0
38011,1
30,0
32160,0
35862,0
40186,1
32598,0
32361,0
17425,0
14931,0
33464,0
23564,0
23785,0
28867,0
25683,0
9950,0
10144,0
32901,0
93,0
2291,0
14665,0
18622,0
7117,0
1528,0
3581,0
15857,0
19762,0
29273,0
21939,0
39535,1
28788,0
19680,0
14624,0
23432,0
31205,0
39741,0
29139,0
40861,1
34910,0
28310,1
21475,0
36655,0
31547,0
717,0
36676,0
5930,0
11265,0
34355,0
31261,1
38471,0
37073,0
20553,0
30062,0
18667,0
9071,0
13295,0
24623,0
1990,0
9602,0
37090,0
19004,1
19510,0
20974,0
743,0
13355,0
36358,0
24477,0
21954,0
7820,0
16749,0
4713,0
10824,0
1866,0
942,0
14089,0
19800,0
10250,0
32413,0
20663,0
1321,0
39483,0
26297,0
5623,0
17954,0
26441,0
32746,0
21058,0
15900,0
40943,0
36805,1
12107,0
8932,0
36866,0
11732,0
22900,0
25186,0
1177,0
37986,1
21507,0
29820,0
25389,0
734,0
35489,0
39490,0
8955,1
7634,0
25469,0
4451,0
18680,0
8285,0
19257,0
28216,0
40649,1
31326,0
16640,0
35537,0
19698,0
23085,0
13093,0
25270,0
20605,0
22443,0
10175,0
35560,0
550,0
1088,0
4810,0
38156,0
11110,0
25950,0
8844,0
3672,0
18081,0
35578,0
23022,1
17251,0
6152,0
39355,0
7103,0
35936,0
1184,0
38050,0
12545,0
22797,0
9408,0
16539,0
28780,0
30731,0
1688,0
4488,0
33662,0
23927,0
22306,0
13222,0
6796,0
29619,0
40401,1
36280,0
2459,0
40756,0
9827,0
40721,0
26166,0
32262,0
22192,0
5947,0
27963,0
26186,0
26480,0
5956,0
17822,0
5897,0
3619,0
36829,1
29568,0
22935,0
5388,0
5581,0
21402,0
34221,0
16824,0
28559,0
26347,0
996,0
33146,0
12459,0
37033,0
3903,0
20720,0
14990,0
8168,0
28613,1
33167,0
3547,0
36969,0
20468,0
21116,0
27149,1
32222,0
5650,1
37047,0
32156,0
11661,0
7014,0
775,0
8458,0
3032,0
35722,0
5644,0
36209,0
39555,0
10046,1
16165,0
1020,0
3676,1
17966,0
23828,0
34704,1
20934,0
9809,0
27214,0
15952,0
4455,0
19907,0
22808,0
23345,0
5538,0
6461,0
12782,0
30266,0
27578,0
490,0
24228,0
40555,0
6911,0
11983,0
37269,0
37189,1
18459,0
26205,0
1018,0
24270,0
27215,0
20210,0
13782,0
34685,0
38029,0
33961,0
21528,0
4689,0
35353,0
34595,0
36131,0
9452,0
36428,0
25162,0
763,0
37638,0
24039,1
24853,0
28937,0
19266,0
3574,0
33607,1
7114,0
30646,0
29443,0
37744,0
10440,0
13679,0
29433,0
451,0
37692,1
21822,0
29635,0
41046,0
34826,1
19268,0
11347,0
17271,0
39531,1
34860,0
38646,0
20479,0
35740,1
19632,0
19086,0
23181,0
22050,1
5177,0
33742,0
30397,0
17479,0
1108,0
766,0
17771,0
33751,1
17306,1
677,0
2920,0
21687,0
24239,0
27135,0
9372,0
11229,0
34868,0
1117,0
13289,1
38200,0
18756,0
3229,0
29405,0
35865,0
18432,0
7346,0
24561,0
19307,0
12480,0
8759,0
9564,0
37344,0
18233,0
22891,0
23674,0
30209,0
697,0
8888,0
18490,0
3791,0
33666,0
1671,0
22436,0
8091,0
6757,0
13708,0
27508,0
14530,0
4605,0
10308,0
5491,0
27786,1
4163,1
36494,0
18502,0
17672,0
17865,1
30208,1
18984,0
9695,0
31980,0
23829,0
13070,0
11242,0
30885,0
10313,0
25777,0
28514,0
11582,0
35941,1
18471,0
11921,0
34141,0
32383,0
7776,0
27615,0
4149,0
4442,0
33502,0
